relpress,quantity,amountmol,rouquerol,betplot,type
9.20868e-06,2.906,0.12973214285714288,0.1297309481953536,0.07098290830444894,Adsoption isotherm
1.9271e-05,5.7528,0.2568214285714286,0.2568164793656786,0.07503801955232088,Adsoption isotherm
4.49964e-05,11.0536,0.49346428571428574,0.49344208159790004,0.09118881765067419,Linear BET range
7.28697e-05,15.9283,0.7110848214285714,0.7110330048909594,0.10248427217689417,Linear BET range
0.000101535,20.5926,0.9193125000000001,0.9192191576053126,0.11045788064786649,Linear BET range
0.00021636,36.4138,1.6256160714285717,1.6252643531353574,0.13312295909438482,Linear BET range
0.000396369,54.7914,2.446044642857143,2.4450751065880985,0.1621091306896909,Linear BET range
0.000648908,72.4796,3.235696428571429,3.2335967592733574,0.20067684634426103,Linear BET range
0.000816648,81.2961,3.6292901785714284,3.626326326005678,0.22519981010631232,Linear BET range
0.00102486,90.2139,4.02740625,4.023278722430625,0.2547325379885291,Linear BET range
0.0021737,121.5,5.424107142857143,5.412316761160715,0.40162098707870764,Linear BET range
0.00408973,151.2441,6.7519687500000005,6.724355020844063,0.6081966206904172,Linear BET range
0.00619031,173.7674,7.7574732142857155,7.70945205027259,0.8029507103272175,Linear BET range
0.00812158,190.5704,8.507607142857143,8.438511930837858,0.9624422014881965,Linear BET range
0.0100263,205.0034,9.1519375,9.060177429043751,1.1066339570634898,Linear BET range
0.0178911,251.7407,11.238424107142858,11.037356337599554,1.620958810494563,Linear BET range
0.0264231,288.5218,12.8804375,12.54009641189375,2.1070890631222587,Linear BET range
0.0365762,320.4564,14.306089285714286,13.782826902782142,2.6537516764878535,Linear BET range
0.0501265,357.6507,15.966549107142857,15.16620188332366,3.3051452424036185,Linear BET range
0.0665974,404.5387,18.059763392857143,16.857030106277676,3.950719645164462,Linear BET range
0.0744364,423.1939,18.89258482142857,17.486288820626786,4.256843791359262,Linear BET range
0.0874696,450.4193,20.108004464285717,18.34916535699643,4.766952517905581,Linear BET range
0.0998409,475.1386,21.211544642857145,19.09376493532411,5.228979215895288,Adsoption isotherm
0.125895,533.6639,23.824281250000002,20.824923362031253,6.04540039890549,Adsoption isotherm
0.149664,594.3408,26.53307142857143,22.562025826285712,6.633446887807171,Knee
0.175625,608.5586,27.167794642857142,22.396450708705355,7.841644298207291,Adsoption isotherm
0.199923,615.2886,27.468241071428572,21.976707911705358,9.09704041220459,Adsoption isotherm
0.225065,621.3547,27.739049107142858,21.49596001984375,10.470106931359835,Adsoption isotherm
0.249985,626.6489,27.975397321428574,20.981967622031252,11.914278227057865,Adsoption isotherm
0.275255,631.4773,28.190950892857146,20.43125070484375,13.472254047313108,Adsoption isotherm
0.300163,635.9306,28.389758928571432,19.868203719294645,15.107706979494182,Adsoption isotherm
0.325222,640.2213,28.58130803571429,19.286037873723217,16.863080023456114,Adsoption isotherm
0.350705,644.113,28.755044642857147,18.67050671138393,18.78390369481324,Adsoption isotherm
0.375643,647.7293,28.916486607142858,18.054210828575894,20.806392678512356,Adsoption isotherm
0.400668,651.2541,29.07384375,17.424884922375,22.99401125372765,Adsoption isotherm
0.425435,654.8101,29.232593750000003,16.79602522796875,25.32950470278917,Adsoption isotherm
0.450803,658.0494,29.37720535714286,16.133873050526784,27.94139997186112,Adsoption isotherm
0.475808,661.0852,29.512732142857143,15.470338087428571,30.756147494064706,Adsoption isotherm
0.500626,664.0785,29.646361607142858,14.804622181205357,33.81552017150094,Adsoption isotherm
0.525749,667.025,29.77790178571429,14.122199699776786,37.228548751389624,Adsoption isotherm
0.550936,670.1706,29.91833035714286,13.435245103500002,41.006769564365904,Adsoption isotherm
0.576549,673.1697,30.052218750000005,12.725642081906253,45.306083283589814,Adsoption isotherm
0.600741,675.8962,30.173937500000005,12.047216112312503,49.86554523463975,Adsoption isotherm
0.626032,678.7341,30.300629464285716,11.3314657995,55.2472214166347,Adsoption isotherm
0.650792,681.6723,30.431799107142858,10.627027702607142,61.239324692862176,Adsoption isotherm
0.67577,684.4101,30.554022321428576,9.906530657276788,68.21459735791731,Adsoption isotherm
0.700597,687.1993,30.67854017857143,9.185246965084822,76.2741603642369,Adsoption isotherm
0.725611,689.8607,30.79735267857143,8.450454804120536,85.86650266991357,Adsoption isotherm
0.750448,692.7664,30.92707142857143,7.717912529142858,97.23458217054241,Adsoption isotherm
0.775972,696.0112,31.071928571428575,6.960982014000001,111.47450150558596,Adsoption isotherm
0.801233,698.8786,31.1999375,6.201517977062501,129.19949647223686,Adsoption isotherm
0.825893,701.9289,31.336111607142858,5.455836383584822,151.37789001240856,Adsoption isotherm
0.850717,705.1419,31.47954910714286,4.699361529361609,181.02820876511,Adsoption isotherm
0.875142,708.4508,31.627267857142858,3.9489174101071436,221.6156756685006,Adsoption isotherm
0.900258,712.6206,31.813419642857145,3.1731341020178574,283.71256021846307,Adsoption isotherm
0.925364,717.7959,32.044459821428575,2.3916703032321442,386.9111886991477,Adsoption isotherm
0.949041,725.8621,32.40455803571429,1.6513038729419636,574.7222031940058,Adsoption isotherm
0.974374,743.1476,33.176232142857145,0.8501741248928585,1146.0875736753264,Adsoption isotherm
0.988176,767.4379,34.26062053571429,0.4050975772142839,2439.3530240179293,Adsoption isotherm
0.0729096122397605,420.26119919258724,18.761660678240503,,4.191711973321323,"($p/p_{m}^{0}$(BET), $n_{m}$(BET))"
0.07313783417406335,420.26119919258724,18.761660678240503,,4.205868244447207,"($p/p_{m}^{0}$(exp), $n_{m}$(BET))"
