Acquired,Time (min),Sample Name,H2 (ppm),H2 (umol/h/g),CH4 (ppm),CH4 (umol/h/g),CO (ppm),CO (umol/h/g),N2 (ppm),N2 (umol/h/g),H2 (ppm) uncorr,CO (ppm) uncorr,H2 (umol/g),CO (umol/g),Selectivity,H2 TON,CO TON,H2 (umol/h),CO (umol/h),H2 (umol),CO (umol)
20.10.2022 12:08:08,0,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_dark,0.0,0.0,23.077,61.77620592,0.473,1.2662020799999998,32.82,87.85782719999999,0.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.10.2022 12:36:03,27,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,0.0,0.0,0.0,0.0,69.509,186.07281264,0.0,0.0,0.0,0.284895468,inf,0.0,0.0,0.0,0.006331010399999998,0.0,0.0
20.10.2022 13:03:57,55,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.386,1.03330656,22.776,60.97044095999999,0.0,0.0,35.759,95.72541263999999,0.386,0.0,0.241104864,0.284895468,0.0,0.0,0.00043843293468,0.0,0.0,0.0,0.0014244773399999999
20.10.2022 13:31:53,83,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.331,0.8860737599999999,0.0,0.0,0.0,0.0,69.084,184.93510464,0.331,0.0,0.688960272,0.284895468,0.0,0.0003710424522763637,0.00043843293468,0.0051665328,0.0,0.0012055243200000002,0.0014244773399999999
20.10.2022 13:59:47,111,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,0.388,1.03866048,0.066,0.17667936,57.005,152.6001048,0.0,0.066,0.895710816,0.326120652,0.19939577039274928,0.001060258613629091,0.00043843293468,0.0044303688,0.0,0.0034448013600000002,0.0014244773399999999
20.10.2022 14:27:41,139,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,22.177,59.36694192,0.275,0.736164,35.395,94.7509992,0.0,0.275,0.895710816,0.5391174360000001,inf,0.0013784323227054546,0.00050187542652,0.0,0.0008833968000000001,0.004478554080000001,0.00163060326
20.10.2022 14:55:36,167,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,22.929,61.38001583999999,0.0,0.0,33.569,89.86287024,0.0,0.0,0.895710816,0.7108890360000001,inf,0.0013784323227054546,0.0008296616343600003,0.0,0.00368082,0.004478554080000001,0.0026955871800000003
20.10.2022 15:23:31,195,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,0.0,0.0,0.276,0.73884096,70.753,189.40295088,0.0,0.276,0.895710816,0.8832852600000001,inf,0.0013784323227054546,0.00109400535036,0.0,0.0,0.004478554080000001,0.0035544451800000004
20.10.2022 15:51:27,223,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,24.745,66.2413752,0.341,0.9128433600000001,16.08,43.045516799999994,0.0,0.341,0.895710816,1.2686782680000002,inf,0.0013784323227054546,0.0013593103162363638,0.0,0.0036942048000000003,0.004478554080000001,0.004416426300000001
20.10.2022 16:19:23,251,PUZ-493_5ReTAPT_46ACN_04TEOA_5CO2_550nm,0.0,0.0,0.0,0.0,0.288,0.77096448,70.362,188.35625951999995,0.0,0.288,0.895710816,1.6615667640000003,inf,0.0013784323227054546,0.0019524014899527278,0.0,0.0045642168000000006,0.004478554080000001,0.006343391340000001
